#id	clarity
1191878965	1.0
12365	3.0
12367	2.0
12371	2.0
12380	1.0
12383	3.0
12388	3.0
12402	2.0
12414	2.0
12421	3.0
12430	2.0
12431	2.0
12466	2.0
12567	2.0
12580	2.0
12589	3.0
12592	3.0
13259	1.0
13260	3.0
13270	3.0
13275	2.0
13279	2.0
13989	2.0
13993	1.0
13998	2.0
14000	2.0
14002	2.0
14003	3.0
14007	2.0
1633	3.0
1641	3.0
1661	2.0
1683	2.0
2137504198	2.0
27868	2.0
28068	2.0
28415	2.0
28498	2.0
29278	3.0
29393	2.0
30319	3.0
30529	2.0
31527	2.0
33187	2.0
33506	2.0
33757	2.0
37675	3.0
37929	2.0
389	2.0
390	3.0
39342	1.0
405	3.0
415	1.0
42624	2.0
44125	2.0
458	3.0
460	3.0
46238	3.0
468	3.0
477	2.0
530	2.0
541	0.0
54187	2.0
54474	2.0
54763	3.0
578317615	3.0
63084	2.0
63512	3.0
65125	1.0
65191	1.0
67160	2.0
68938	0.0
69016	2.0
69708	1.0
70668	3.0
70818	1.0
70855	2.0
71467	2.0
71559	3.0
71821	2.0
71943	2.0
73596	2.0
73625	2.0
74039	2.0
75146	2.0
76359	1.0
76758	2.0
76796	1.0
76937	2.0
794	2.0
79734	2.0
79918	1.0
800	2.0
804	1.0
80510	2.0
80854	2.0
814	3.0
817	2.0
822	2.0
823	2.0
arg106091	3.0
arg106426	2.0
arg107445	2.0
arg107456	3.0
arg108959	2.0
arg108968	2.0
arg110967	3.0
arg116888	2.0
arg118518	2.0
arg118660	2.0
arg122478	2.0
arg123380	2.0
arg126374	1.0
arg126375	2.0
arg126378	3.0
arg132199	1.0
arg132483	1.0
arg135637	2.0
arg135648	2.0
arg135702	2.0
arg145468	2.0
arg148559	2.0
arg155750	0.0
arg159445	3.0
arg167721	2.0
arg168771	2.0
arg168774	2.0
arg168778	2.0
arg168779	1.0
arg168780	2.0
arg168790	2.0
arg168795	2.0
arg168801	2.0
arg168803	2.0
arg168804	2.0
arg168807	2.0
arg168818	2.0
arg168822	2.0
arg168824	3.0
arg168830	2.0
arg168834	2.0
arg168835	2.0
arg168836	1.0
arg198376	2.0
arg198417	2.0
arg198954	2.0
arg199159	3.0
arg199549	3.0
arg200133	1.0
arg200706	2.0
arg202607	2.0
arg203471	2.0
arg203869	2.0
arg203922	1.0
arg212151	1.0
arg213068	2.0
arg213296	2.0
arg213555	2.0
arg216634	2.0
arg219204	3.0
arg219206	3.0
arg219210	1.0
arg219213	2.0
arg219220	3.0
arg219225	2.0
arg219227	2.0
arg219232	2.0
arg219233	3.0
arg219242	1.0
arg219244	2.0
arg219245	2.0
arg219250	2.0
arg219254	2.0
arg219258	2.0
arg219259	2.0
arg219261	2.0
arg219268	1.0
arg219292	0.0
arg219293	2.0
arg223675	2.0
arg229241	3.0
arg229317	2.0
arg229484	3.0
arg230311	2.0
arg230691	1.0
arg231491	1.0
arg231620	1.0
arg231770	1.0
arg234318	0.0
arg234411	2.0
arg236317	1.0
arg236641	1.0
arg238468	3.0
arg238471	3.0
arg238473	2.0
arg240623	2.0
arg240625	2.0
arg244440	2.0
arg245105	2.0
arg246334	2.0
arg251309	2.0
arg260216	1.0
arg260899	2.0
arg270902	3.0
arg271353	2.0
arg289787	2.0
arg312577	2.0
arg317490	2.0
arg317750	1.0
arg33060	2.0
arg33069	2.0
arg33070	2.0
arg33075	2.0
arg33082	1.0
arg33086	2.0
arg33089	3.0
arg33099	2.0
arg33105	2.0
arg33115	2.0
arg33118	2.0
arg33119	2.0
arg33123	1.0
arg33126	2.0
arg33127	3.0
arg33129	3.0
arg33135	1.0
arg33141	2.0
arg33143	2.0
arg33162	3.0
arg33226	3.0
arg33233	2.0
arg33243	1.0
arg33261	3.0
arg33270	3.0
arg33272	2.0
arg33279	2.0
arg33280	2.0
arg33282	2.0
arg33284	2.0
arg33285	3.0
arg33288	3.0
arg33289	2.0
arg33293	1.0
arg33298	3.0
arg33319	2.0
arg33323	3.0
arg33339	2.0
arg33341	2.0
arg33342	2.0
arg334884	1.0
arg334924	1.0
arg334934	2.0
arg334943	2.0
arg334959	2.0
arg334968	2.0
arg334973	2.0
